Pianist,KnotIndex,X,Y,Z,Velocity,RubatoDevS
Gieseking,0,-0.2237,21.8501,0.0,0.3228,2.4
Gieseking,1,-106.7213,-48.9659,2.0,0.3465,2.7667
Gieseking,2,-38.2115,69.5636,4.0,0.378,3.1333
Gieseking,3,-94.7323,64.1151,6.0,0.378,3.15
Gieseking,4,-101.1619,58.4846,8.0,0.3622,3.8667
Gieseking,5,-68.5843,-66.5322,10.0,0.3307,4.0833
Gieseking,6,-8.5078,43.4495,12.0,0.3307,4.3
Gieseking,7,-83.3984,68.2909,14.0,0.3622,4.3667
Gieseking,8,-114.8565,48.4917,16.0,0.3622,5.1333
Gieseking,9,1.644,-48.3861,18.0,0.3937,5.45
Gieseking,10,-127.6225,46.9688,20.0,0.4173,5.7667
Gieseking,11,7.5881,-41.3149,22.0,0.3937,6.0833
Gieseking,12,-20.5986,68.9016,24.0,0.3937,6.2
Gieseking,13,-131.2027,38.0025,26.0,0.4016,6.3167
Gieseking,14,11.5401,-32.9704,28.0,0.3858,6.6333
Gieseking,15,-128.2398,26.7386,30.0,0.3465,6.95
Gieseking,16,-132.9633,19.1468,32.0,0.3543,7.6667
Gieseking,17,-18.9728,-63.6471,34.0,0.3543,7.8833
Gieseking,18,-47.213,74.9318,36.0,0.3543,8.1
Gieseking,19,-131.3616,42.7584,38.0,0.4016,8.1667
Gieseking,20,-117.18,61.6506,40.0,0.4016,8.8333
Gieseking,21,-59.4401,-90.2798,42.0,0.4409,9.05
Gieseking,22,-101.7316,83.2629,44.0,0.4567,9.4167
Gieseking,23,-75.9003,86.678,46.0,0.4173,10.0833
Gieseking,24,-8.5012,-69.1926,48.0,0.4016,10.45
Gieseking,25,-138.2908,40.0213,50.0,0.4094,10.8167
Gieseking,26,-123.7811,60.1062,52.0,0.4016,11.4833
Gieseking,27,20.8769,-24.7822,54.0,0.378,11.85
Gieseking,28,-103.046,73.1541,56.0,0.378,12.0667
Gieseking,29,-141.5372,-13.2481,58.0,0.3622,12.1333
Gieseking,30,-126.9831,-53.9329,60.0,0.378,12.9
Gieseking,31,-57.1364,82.9633,62.0,0.3543,13.3167
Gieseking,32,-27.5959,-71.8073,64.0,0.3228,13.6833
Gieseking,33,9.0435,-63.9209,66.0,0.4252,13.65
Gieseking,34,-121.1283,50.2958,68.0,0.3228,13.9667
Gieseking,35,-12.1829,69.7633,70.0,0.3543,14.4833
Gieseking,36,-72.5816,-87.7151,72.0,0.378,14.85
Gieseking,37,-140.9163,4.4431,74.0,0.3228,15.3667
Gieseking,38,-86.0619,-81.6873,76.0,0.3465,16.2333
Gieseking,39,-38.353,84.6252,78.0,0.3543,16.55
Gieseking,40,-40.8983,-90.5168,80.0,0.3858,16.875
Gieseking,41,-145.5255,8.9624,82.0,0.3386,17.3
Gieseking,42,24.2474,-40.2817,84.0,0.3858,17.525
Gieseking,43,-149.0869,-1.1051,86.0,0.3543,17.85
Gieseking,44,31.6505,6.5008,88.0,0.3701,18.1667
Gieseking,45,-146.9064,-11.2929,90.0,0.3386,18.525
Gieseking,46,33.5335,17.7582,92.0,0.3858,18.8833
Gieseking,47,-139.2405,-59.7445,94.0,0.4094,19.25
Gieseking,48,28.4946,-8.4823,96.0,0.3386,19.4667
Gieseking,49,41.6713,31.946,98.0,0.4567,19.4333
Gieseking,50,-150.0924,-34.2043,100.0,0.3858,19.75
Gieseking,51,12.4276,77.8173,102.0,0.4488,20.1167
Gieseking,52,-152.5325,-48.1338,104.0,0.4331,20.3833
Gieseking,53,-89.9454,-99.9353,106.0,0.4331,20.4
Gieseking,54,20.7058,48.166,108.0,0.3622,20.6167
Gieseking,55,-134.1994,-50.3798,110.0,0.3307,20.9333
Gieseking,56,38.5645,25.6812,112.0,0.4094,21.2
Gieseking,57,-139.1824,-68.5141,114.0,0.4252,21.5667
Gieseking,58,9.3056,-75.5229,116.0,0.4094,21.6833
Gieseking,59,-126.2689,64.2451,118.0,0.3386,22.0
Gieseking,60,42.9406,-33.1434,120.0,0.4409,22.3667
Gieseking,61,-149.9266,68.8004,122.0,0.4724,22.6333
Gieseking,62,-83.3515,-102.5577,124.0,0.4173,22.8
Gieseking,63,37.9621,-66.2559,126.0,0.5039,22.8667
Gieseking,64,-82.0613,92.3338,128.0,0.3465,23.0833
Gieseking,65,-116.5653,-101.8268,130.0,0.4882,23.3
Gieseking,66,9.9399,-84.2354,132.0,0.4409,23.3667
Gieseking,67,-54.4314,114.3656,134.0,0.4724,23.5833
Gieseking,68,-136.5273,-75.789,136.0,0.4252,23.8
Gieseking,69,-12.351,-109.7044,138.0,0.5039,23.8667
Gieseking,70,-29.4052,88.7886,140.0,0.3307,24.0833
Gieseking,71,-89.9395,-106.7533,142.0,0.4409,24.4
Gieseking,72,-35.7485,111.0417,144.0,0.4567,24.7167
Gieseking,73,-152.8148,-20.1888,146.0,0.3307,24.8833
Gieseking,74,-77.0401,-107.9106,148.0,0.4252,24.95
