Pianist,KnotIndex,X,Y,Z,Velocity,RubatoDevS,ScoreProgress
NPDC Andante,0,0.4044,-91.3847,0.0,0.3701,1.375,0.0
NPDC Andante,1,-66.5869,56.998,2.0,0.3307,1.5,0.020979
NPDC Andante,2,-83.9392,-25.2348,4.0,0.3307,1.5,0.027972
NPDC Andante,3,4.9598,-90.7925,6.0,0.3622,1.4167,0.041958
NPDC Andante,4,-99.0738,-0.877,8.0,0.378,1.75,0.055944
NPDC Andante,5,40.0227,-85.4443,10.0,0.3465,1.75,0.06993
NPDC Andante,6,89.0306,-11.8879,12.0,0.3307,1.625,0.083916
NPDC Andante,7,92.5769,18.8234,14.0,0.3858,1.4167,0.097902
NPDC Andante,8,-70.7252,-62.7434,16.0,0.3622,1.625,0.111888
NPDC Andante,9,80.6823,53.3315,18.0,0.3622,1.75,0.125874
NPDC Andante,10,-12.0247,-93.197,20.0,0.315,2.0,0.13986
NPDC Andante,11,-45.7831,-104.9068,22.0,0.3937,2.5,0.153846
NPDC Andante,12,-53.8961,112.4603,24.0,0.4331,2.75,0.167832
NPDC Andante,13,-81.2205,-97.475,26.0,0.4331,2.875,0.174825
NPDC Andante,14,115.4099,-31.38,28.0,0.3701,3.0,0.181818
NPDC Andante,15,102.398,-62.5932,30.0,0.315,3.5,0.195804
NPDC Andante,16,-63.8105,104.7339,32.0,0.3228,3.5833,0.20979
NPDC Andante,17,-119.927,-38.3815,34.0,0.3543,3.5,0.223776
NPDC Andante,18,85.6029,-93.9501,36.0,0.3622,3.5,0.237762
NPDC Andante,19,49.8052,116.9355,38.0,0.3622,3.5,0.251748
NPDC Andante,20,-104.8745,78.102,40.0,0.4252,3.1667,0.27972
NPDC Andante,21,50.2661,-102.547,42.0,0.2835,3.4375,0.283217
NPDC Andante,22,78.1295,95.4711,44.0,0.3228,3.625,0.286713
NPDC Andante,23,-66.4612,-123.3829,46.0,0.3937,3.9792,0.29021
NPDC Andante,24,-145.9091,-18.6085,48.0,0.3701,4.5833,0.293706
NPDC Andante,25,-15.1189,-136.1257,50.0,0.3701,4.0,0.335664
NPDC Andante,26,121.2793,40.0011,52.0,0.3228,3.875,0.356643
NPDC Andante,27,-50.1392,-120.6715,54.0,0.2992,4.25,0.363636
NPDC Andante,28,74.5606,-107.5475,56.0,0.315,4.125,0.377622
NPDC Andante,29,25.9724,126.7855,58.0,0.315,4.0417,0.398601
NPDC Andante,30,-127.4047,-89.1646,60.0,0.378,5.0,0.405594
NPDC Andante,31,-87.6111,138.2306,62.0,0.3937,5.3333,0.41958
NPDC Andante,32,-164.9177,40.1708,64.0,0.2992,6.5,0.447552
NPDC Andante,33,-128.1783,-122.089,66.0,0.3622,6.375,0.461538
NPDC Andante,34,-78.61,-152.3355,68.0,0.378,5.9167,0.48951
NPDC Andante,35,-158.093,-23.0134,70.0,0.252,6.3333,0.503497
NPDC Andante,36,-150.0155,-77.6971,72.0,0.3228,6.25,0.51049
NPDC Andante,37,-16.0026,-171.7416,74.0,0.3465,6.25,0.517483
NPDC Andante,38,161.5276,56.4656,76.0,0.3228,6.375,0.524476
NPDC Andante,39,-120.067,124.9435,78.0,0.3228,6.5,0.531469
NPDC Andante,40,-186.7526,16.5679,80.0,0.3307,7.25,0.538462
NPDC Andante,41,-180.3939,70.3148,82.0,0.2992,7.875,0.545455
NPDC Andante,42,-110.9429,-198.8822,84.0,0.3386,9.5,0.552448
NPDC Andante,43,111.8675,-209.1435,86.0,0.4016,9.5,0.559441
NPDC Andante,44,-237.7542,53.4724,88.0,0.4016,9.875,0.566434
NPDC Andante,45,201.108,148.8547,90.0,0.4016,10.25,0.573427
NPDC Andante,46,-96.272,227.8831,92.0,0.378,10.2917,0.58042
NPDC Andante,47,52.3436,237.643,94.0,0.2835,10.875,0.587413
NPDC Andante,48,-176.2611,177.0375,96.0,0.3701,10.5,0.615385
NPDC Andante,49,119.491,218.7347,98.0,0.3228,10.875,0.629371
NPDC Andante,50,-224.5122,96.013,100.0,0.3228,10.5833,0.657343
NPDC Andante,51,87.9834,-234.8711,102.0,0.3622,10.625,0.671329
NPDC Andante,52,-248.9261,5.1369,104.0,0.3307,10.7917,0.692308
NPDC Andante,53,234.6779,-126.8552,106.0,0.4252,11.0,0.699301
NPDC Andante,54,-245.7287,-93.2929,108.0,0.3701,11.25,0.713287
NPDC Andante,55,94.8686,260.2646,110.0,0.4646,11.25,0.741259
NPDC Andante,56,-258.4768,-20.6347,112.0,0.3465,11.25,0.755245
NPDC Andante,57,-8.8752,261.3928,114.0,0.3228,11.5833,0.769231
NPDC Andante,58,-255.8851,52.8095,116.0,0.3307,11.5,0.783217
NPDC Andante,59,-109.3914,-231.7688,118.0,0.3071,11.4167,0.797203
NPDC Andante,60,-231.2216,-130.3371,120.0,0.315,11.875,0.811189
NPDC Andante,61,217.604,-158.0925,122.0,0.3386,11.875,0.825175
NPDC Andante,62,249.6805,97.3304,124.0,0.3465,11.75,0.839161
NPDC Andante,63,-88.6888,-250.171,126.0,0.315,11.875,0.86014
NPDC Andante,64,266.5492,23.6552,128.0,0.315,12.0,0.867133
NPDC Andante,65,-277.6433,14.7507,130.0,0.3701,12.125,0.881119
NPDC Andante,66,-158.62,-220.3745,132.0,0.3701,11.75,0.909091
NPDC Andante,67,-218.8558,-171.1691,134.0,0.3543,12.25,0.923077
NPDC Andante,68,147.2859,-253.3656,136.0,0.2677,13.875,0.93007
NPDC Andante,69,-114.3484,282.2059,138.0,0.315,14.125,0.937063
NPDC Andante,70,245.8923,195.847,140.0,0.3228,14.625,0.944056
NPDC Andante,71,-132.3151,284.6477,142.0,0.315,14.6667,0.951049
NPDC Andante,72,-270.9041,-159.0896,144.0,0.3071,14.75,0.958042
NPDC Andante,73,-12.5948,-316.2747,146.0,0.3228,14.75,0.965035
NPDC Andante,74,57.8845,315.6017,148.0,0.3228,15.0,0.972028
NPDC Andante,75,148.6251,296.5591,150.0,0.3228,15.625,0.979021
NPDC Andante,76,-171.0512,288.3427,152.0,0.3465,15.625,0.986014
NPDC Andante,77,229.8656,247.8524,154.0,0.3071,16.125,0.993007
NPDC Andante,78,-84.3636,327.3404,156.0,0.3071,16.125,1.0
